./actionpack/test/controller/routing_test.rb:0: warning: *global* has 249 NLOC, 1 CCN, 777 token, 0 PARAM, 1920 length
./actionpack/test/controller/test_case_test.rb:0: warning: *global* has 201 NLOC, 3 CCN, 632 token, 0 PARAM, 1053 length
./actionpack/test/controller/test_case_test.rb:0: warning: *global* has 201 NLOC, 3 CCN, 632 token, 0 PARAM, 1053 length
./actionpack/test/controller/test_case_test.rb:0: warning: *global* has 201 NLOC, 3 CCN, 632 token, 0 PARAM, 1053 length
./actionpack/lib/action_dispatch/routing/mapper.rb:208: warning: default_controller_and_action has 42 NLOC, 17 CCN, 232 token, 0 PARAM, 50 length
./activesupport/test/dependencies_test.rb:0: warning: *global* has 116 NLOC, 2 CCN, 252 token, 0 PARAM, 1001 length
./activesupport/test/dependencies_test.rb:0: warning: *global* has 116 NLOC, 2 CCN, 252 token, 0 PARAM, 1001 length
./activesupport/test/dependencies_test.rb:0: warning: *global* has 116 NLOC, 2 CCN, 252 token, 0 PARAM, 1001 length
./activesupport/test/dependencies_test.rb:0: warning: *global* has 116 NLOC, 2 CCN, 252 token, 0 PARAM, 1001 length
./activesupport/test/caching_test.rb:0: warning: *global* has 226 NLOC, 7 CCN, 703 token, 0 PARAM, 1084 length
./activesupport/test/caching_test.rb:0: warning: *global* has 226 NLOC, 7 CCN, 703 token, 0 PARAM, 1084 length
./activesupport/test/caching_test.rb:0: warning: *global* has 226 NLOC, 7 CCN, 703 token, 0 PARAM, 1084 length
./activesupport/test/caching_test.rb:0: warning: *global* has 226 NLOC, 7 CCN, 703 token, 0 PARAM, 1084 length
./activesupport/test/caching_test.rb:0: warning: *global* has 226 NLOC, 7 CCN, 703 token, 0 PARAM, 1084 length
./activesupport/test/caching_test.rb:0: warning: *global* has 226 NLOC, 7 CCN, 703 token, 0 PARAM, 1084 length
./activesupport/test/callbacks_test.rb:0: warning: *global* has 342 NLOC, 2 CCN, 1617 token, 0 PARAM, 1004 length
./activesupport/test/callbacks_test.rb:0: warning: *global* has 342 NLOC, 2 CCN, 1617 token, 0 PARAM, 1004 length
./activesupport/test/callbacks_test.rb:0: warning: *global* has 342 NLOC, 2 CCN, 1617 token, 0 PARAM, 1004 length
./activesupport/test/callbacks_test.rb:0: warning: *global* has 342 NLOC, 2 CCN, 1617 token, 0 PARAM, 1004 length
./activesupport/test/callbacks_test.rb:0: warning: *global* has 342 NLOC, 2 CCN, 1617 token, 0 PARAM, 1004 length
./activesupport/lib/active_support/xml_mini.rb:104: warning: to_tag has 26 NLOC, 18 CCN, 228 token, 3 PARAM, 32 length
./railties/lib/rails/commands/dbconsole.rb:18: warning: start has 50 NLOC, 24 CCN, 396 token, 0 PARAM, 63 length
./guides/assets/javascripts/jquery.min.js:2: warning: cb has 1 NLOC, 21 CCN, 316 token, 2 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:2: warning: ca has 1 NLOC, 18 CCN, 225 token, 3 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:2: warning: bB has 1 NLOC, 22 CCN, 285 token, 3 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:2: warning: init has 1 NLOC, 28 CCN, 466 token, 3 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:2: warning: e.fn.extend has 1 NLOC, 21 CCN, 250 token, 0 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:2: warning: data has 1 NLOC, 26 CCN, 321 token, 4 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:2: warning: removeData has 1 NLOC, 21 CCN, 278 token, 3 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:2: warning: attr has 1 NLOC, 23 CCN, 249 token, 4 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:3: warning: add has 1 NLOC, 26 CCN, 491 token, 5 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:3: warning: remove has 1 NLOC, 33 CCN, 459 token, 5 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:3: warning: trigger has 1 NLOC, 59 CCN, 803 token, 4 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:3: warning: dispatch has 1 NLOC, 35 CCN, 557 token, 1 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:3: warning: filter has 1 NLOC, 28 CCN, 204 token, 2 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:3: warning: m has 1 NLOC, 51 CCN, 761 token, 4 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:3: warning: m.filter has 1 NLOC, 25 CCN, 372 token, 4 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:4: warning: style has 1 NLOC, 21 CCN, 252 token, 4 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:4: warning: w has 1 NLOC, 24 CCN, 354 token, 4 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:4: warning: ajax has 1 NLOC, 52 CCN, 936 token, 2 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:4: warning: d has 1 NLOC, 20 CCN, 210 token, 2 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:4: warning: send has 1 NLOC, 16 CCN, 232 token, 2 PARAM, 1 length
./guides/assets/javascripts/jquery.min.js:4: warning: g has 1 NLOC, 39 CCN, 570 token, 0 PARAM, 1 length
./activerecord/test/cases/associations/eager_test.rb:0: warning: *global* has 263 NLOC, 1 CCN, 1091 token, 0 PARAM, 1264 length
./activerecord/test/cases/associations/has_many_through_associations_test.rb:0: warning: *global* has 185 NLOC, 1 CCN, 521 token, 0 PARAM, 1226 length
./activerecord/test/cases/associations/has_many_associations_test.rb:0: warning: *global* has 354 NLOC, 2 CCN, 1227 token, 0 PARAM, 1928 length
./activerecord/test/cases/nested_attributes_test.rb:0: warning: *global* has 251 NLOC, 1 CCN, 1098 token, 0 PARAM, 1087 length
./activerecord/test/cases/finder_test.rb:0: warning: *global* has 184 NLOC, 1 CCN, 500 token, 0 PARAM, 1011 length
./activerecord/test/cases/relations_test.rb:0: warning: *global* has 331 NLOC, 1 CCN, 1242 token, 0 PARAM, 1712 length
./activerecord/test/cases/relations_test.rb:0: warning: *global* has 331 NLOC, 1 CCN, 1242 token, 0 PARAM, 1712 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 353 NLOC, 1 CCN, 1349 token, 0 PARAM, 1551 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 292 NLOC, 5 CCN, 975 token, 0 PARAM, 1600 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 292 NLOC, 5 CCN, 975 token, 0 PARAM, 1600 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:82: warning: self.extract_value_from_default has 38 NLOC, 35 CCN, 286 token, 1 PARAM, 60 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:196: warning: simplified_type has 47 NLOC, 36 CCN, 212 token, 1 PARAM, 63 length
./activerecord/lib/active_record/connection_adapters/abstract_mysql_adapter.rb:0: warning: *global* has 169 NLOC, 19 CCN, 552 token, 0 PARAM, 793 length
./activerecord/lib/active_record/fixtures.rb:605: warning: table_rows has 44 NLOC, 17 CCN, 285 token, 0 PARAM, 63 length
./activerecord/lib/active_record/fixtures.rb:0: warning: *global* has 126 NLOC, 1 CCN, 338 token, 0 PARAM, 1024 length
./activerecord/lib/active_record/associations.rb:0: warning: *global* has 105 NLOC, 2 CCN, 330 token, 0 PARAM, 1617 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 637 NLOC, 4 CCN, 10994 token, 0 PARAM, 3228 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 637 NLOC, 4 CCN, 10994 token, 0 PARAM, 3228 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 637 NLOC, 4 CCN, 10994 token, 0 PARAM, 3228 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 637 NLOC, 4 CCN, 10994 token, 0 PARAM, 3228 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 637 NLOC, 4 CCN, 10994 token, 0 PARAM, 3228 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 637 NLOC, 4 CCN, 10994 token, 0 PARAM, 3228 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 637 NLOC, 4 CCN, 10994 token, 0 PARAM, 3228 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 453 NLOC, 1 CCN, 1452 token, 0 PARAM, 3088 length
./actionview/test/template/form_options_helper_test.rb:0: warning: *global* has 178 NLOC, 1 CCN, 464 token, 0 PARAM, 1359 length
./actionview/test/template/form_options_helper_test.rb:0: warning: *global* has 178 NLOC, 1 CCN, 464 token, 0 PARAM, 1359 length
./actionview/test/template/form_options_helper_test.rb:0: warning: *global* has 178 NLOC, 1 CCN, 464 token, 0 PARAM, 1359 length
./actionview/lib/action_view/helpers/date_helper.rb:0: warning: *global* has 84 NLOC, 4 CCN, 376 token, 0 PARAM, 1095 length
./actionview/lib/action_view/helpers/date_helper.rb:0: warning: *global* has 84 NLOC, 4 CCN, 376 token, 0 PARAM, 1095 length
./actionview/lib/action_view/helpers/asset_url_helper.rb:192: warning: compute_asset_host has 26 NLOC, 18 CCN, 186 token, 2 PARAM, 29 length
./actionview/lib/action_view/vendor/html-scanner/html/node.rb:132: warning: parse has 62 NLOC, 16 CCN, 350 token, 5 PARAM, 71 length
./actionview/lib/action_view/vendor/html-scanner/html/selector.rb:241: warning: initialize has 84 NLOC, 29 CCN, 497 token, 2 PARAM, 103 length
./actionview/lib/action_view/vendor/html-scanner/html/selector.rb:724: warning: nth_child has 36 NLOC, 19 CCN, 198 token, 4 PARAM, 45 length