./actionpack/test/template/asset_tag_helper_test.rb:0: warning: *global* has 301 NLOC, 2 CCN, 2041 token, 0 PARAM, 1157 length
./actionpack/test/template/asset_tag_helper_test.rb:0: warning: *global* has 301 NLOC, 2 CCN, 2041 token, 0 PARAM, 1157 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 582 NLOC, 4 CCN, 9988 token, 0 PARAM, 2803 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 202 NLOC, 1 CCN, 515 token, 0 PARAM, 2047 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 202 NLOC, 1 CCN, 515 token, 0 PARAM, 2047 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 202 NLOC, 1 CCN, 515 token, 0 PARAM, 2047 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 202 NLOC, 1 CCN, 515 token, 0 PARAM, 2047 length
./actionpack/test/controller/mime_responds_test.rb:0: warning: *global* has 188 NLOC, 1 CCN, 482 token, 0 PARAM, 1104 length
./actionpack/test/controller/mime_responds_test.rb:0: warning: *global* has 188 NLOC, 1 CCN, 482 token, 0 PARAM, 1104 length
./actionpack/test/controller/mime_responds_test.rb:0: warning: *global* has 188 NLOC, 1 CCN, 482 token, 0 PARAM, 1104 length
./actionpack/test/controller/routing_test.rb:0: warning: *global* has 245 NLOC, 1 CCN, 751 token, 0 PARAM, 1953 length
./actionpack/test/controller/routing_test.rb:0: warning: *global* has 245 NLOC, 1 CCN, 751 token, 0 PARAM, 1953 length
./actionpack/lib/action_controller/vendor/html-scanner/html/node.rb:132: warning: parse has 62 NLOC, 16 CCN, 350 token, 5 PARAM, 71 length
./actionpack/lib/action_controller/vendor/html-scanner/html/selector.rb:241: warning: initialize has 84 NLOC, 29 CCN, 497 token, 2 PARAM, 103 length
./actionpack/lib/action_controller/vendor/html-scanner/html/selector.rb:724: warning: nth_child has 36 NLOC, 19 CCN, 198 token, 4 PARAM, 45 length
./actionpack/lib/action_dispatch/routing/mapper.rb:0: warning: *global* has 162 NLOC, 2 CCN, 423 token, 0 PARAM, 1500 length
./actionpack/lib/action_dispatch/routing/mapper.rb:0: warning: *global* has 162 NLOC, 2 CCN, 423 token, 0 PARAM, 1500 length
./actionpack/lib/action_view/helpers/date_helper.rb:0: warning: *global* has 95 NLOC, 4 CCN, 411 token, 0 PARAM, 1040 length
./actionpack/lib/action_view/helpers/date_helper.rb:0: warning: *global* has 95 NLOC, 4 CCN, 411 token, 0 PARAM, 1040 length
./activesupport/lib/active_support/core_ext/hash/conversions.rb:106: warning: typecast_xml_value has 39 NLOC, 26 CCN, 320 token, 2 PARAM, 48 length
./activesupport/lib/active_support/xml_mini.rb:97: warning: to_tag has 25 NLOC, 17 CCN, 221 token, 3 PARAM, 31 length
./activeresource/test/cases/base_test.rb:0: warning: *global* has 141 NLOC, 4 CCN, 378 token, 0 PARAM, 1100 length
./activeresource/test/cases/base_test.rb:0: warning: *global* has 141 NLOC, 4 CCN, 378 token, 0 PARAM, 1100 length
./activeresource/test/cases/base_test.rb:0: warning: *global* has 141 NLOC, 4 CCN, 378 token, 0 PARAM, 1100 length
./activeresource/lib/active_resource/base.rb:0: warning: *global* has 149 NLOC, 3 CCN, 324 token, 0 PARAM, 1480 length
./railties/lib/rails/commands/dbconsole.rb:0: warning: *global* has 61 NLOC, 27 CCN, 404 token, 0 PARAM, 124 length
./activerecord/test/cases/associations/eager_test.rb:0: warning: *global* has 179 NLOC, 1 CCN, 533 token, 0 PARAM, 1088 length
./activerecord/test/cases/associations/has_many_associations_test.rb:0: warning: *global* has 247 NLOC, 4 CCN, 617 token, 0 PARAM, 1591 length
./activerecord/test/cases/associations/has_many_associations_test.rb:0: warning: *global* has 247 NLOC, 4 CCN, 617 token, 0 PARAM, 1591 length
./activerecord/test/cases/associations/has_many_associations_test.rb:0: warning: *global* has 247 NLOC, 4 CCN, 617 token, 0 PARAM, 1591 length
./activerecord/test/cases/relations_test.rb:0: warning: *global* has 152 NLOC, 1 CCN, 395 token, 0 PARAM, 1017 length
./activerecord/test/cases/relations_test.rb:0: warning: *global* has 152 NLOC, 1 CCN, 395 token, 0 PARAM, 1017 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 329 NLOC, 1 CCN, 1262 token, 0 PARAM, 1422 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 431 NLOC, 11 CCN, 921 token, 0 PARAM, 1914 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 431 NLOC, 11 CCN, 921 token, 0 PARAM, 1914 length
./activerecord/lib/active_record/relation/predicate_builder.rb:3: warning: self.build_from_hash has 46 NLOC, 16 CCN, 270 token, 4 PARAM, 54 length
./activerecord/lib/active_record/connection_adapters/abstract/database_statements.rb:168: warning: transaction has 69 NLOC, 21 CCN, 207 token, 1 PARAM, 73 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:82: warning: simplified_type has 35 NLOC, 30 CCN, 171 token, 1 PARAM, 50 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:135: warning: self.extract_value_from_default has 35 NLOC, 33 CCN, 251 token, 1 PARAM, 55 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 203 NLOC, 8 CCN, 646 token, 0 PARAM, 1212 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 203 NLOC, 8 CCN, 646 token, 0 PARAM, 1212 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 203 NLOC, 8 CCN, 646 token, 0 PARAM, 1212 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 203 NLOC, 8 CCN, 646 token, 0 PARAM, 1212 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 203 NLOC, 8 CCN, 646 token, 0 PARAM, 1212 length
./activerecord/lib/active_record/base.rb:0: warning: *global* has 228 NLOC, 3 CCN, 712 token, 0 PARAM, 2202 length
./activerecord/lib/active_record/fixtures.rb:553: warning: table_rows has 49 NLOC, 19 CCN, 347 token, 0 PARAM, 68 length
./activerecord/lib/active_record/migration.rb:655: warning: migrate has 32 NLOC, 16 CCN, 214 token, 0 PARAM, 43 length
./activerecord/lib/active_record/schema_dumper.rb:83: warning: table has 59 NLOC, 17 CCN, 563 token, 2 PARAM, 82 length